order,use,origin,repository,package,version
1,code,cran,,formatR,1.7
2,code,cran,,git2r,0.27.1
3,code,cran,,gitcreds,0.1.1
4,code,cran,,goodpractice,1.0.2
5,code,cran,,gtools,3.8.2
6,code,cran,,lintr,2.0.1
7,code,cran,,plyr,1.8.6
8,code,cran,,rcmdcheck,1.3.3
9,code,cran,,Rcpp,1.0.5
10,code,cran,,RItools,0.1-17
11,code,cran,,rJava,0.9-13
12,code,cran,,snow,0.4-3
13,code,cran,,styler,1.3.2
14,code,cran,,testthat,3.0.1
15,code,cran,,usethis,2.0.0
16,code,cran,,yaml,2.2.1
17,data,cran,,data.table,1.13.4
18,data,cran,,doParallel,1.0.16
19,data,cran,,doSNOW,1.0.19
20,data,cran,,dplyr,1.0.2
21,data,cran,,forcats,0.5.0
22,data,cran,,foreach,1.5.1
23,data,cran,,furrr,0.2.1
24,data,cran,,future,1.21.0
25,data,cran,,googlesheets,0.3.0
26,data,cran,,haven,2.3.1
27,data,cran,,lubridate,1.7.9.2
28,data,cran,,purrr,0.3.4
29,data,cran,,readODS,1.7.0
30,data,cran,,readr,1.4.0
31,data,cran,,readxl,1.3.1
32,data,cran,,rjson,0.2.20
33,data,cran,,RJSONIO,1.3-1.4
34,data,cran,,rvest,0.3.6
35,data,cran,,tibble,3.0.4
36,data,cran,,tidyr,1.1.2
37,data,cran,,WriteXLS,6.1.0
38,data,cran,,XML,3.99-0.5
39,data,cran,,xml2,1.3.2
40,data,cran,,xmlparsedata,1.0.4
41,data,GitHub,ropensci,DataPackageR,0.15.8
42,stats,cran,,AER,1.2-9
43,stats,cran,,broom,0.7.3
44,stats,cran,,diverse,0.1.5
45,stats,cran,,FinancialMath,0.1.1
46,stats,cran,,Formula,1.2-4
47,stats,cran,,glue,1.4.2
48,stats,cran,,intergraph,2.0-2
49,stats,cran,,lavaan,0.6-7
50,stats,cran,,lfe,2.8
51,stats,cran,,lme4,1.1-26
52,stats,cran,,lmtest,0.9-38
53,stats,cran,,lpSolve,5.6.15
54,stats,cran,,lpSolveAPI,5.5.2.0-17.7
55,stats,cran,,MatchIt,4.1.0
56,stats,cran,,mclust,5.4.7
57,stats,cran,,mctest,1.3.1
58,stats,cran,,mice,3.12.0
59,stats,cran,,MonteCarlo,1.0.6
60,stats,cran,,mvoutlier,2.0.9
61,stats,cran,,nFactors,2.4.1
62,stats,cran,,panelAR,0.1
63,stats,cran,,psych,2.0.12
64,stats,cran,,pwr,1.3-0
65,stats,cran,,QCA,3.1
66,stats,cran,,relaimpo,2.2-3
67,stats,cran,,sem,3.1-11
68,stats,cran,,semPlot,1.1.2
69,stats,cran,,smacof,2.1-1
70,stats,cran,,sna,2.6
71,stats,cran,,SparseM,1.78
72,stats,cran,,statnet,2019.6
73,stats,cran,,systemfit,1.1-24
74,stats,cran,,TripleR,1.5.3
75,stats,cran,,VIM,6.0.0
76,stats,cran,,chron,2.3-56
77,texts,cran,,clipr,0.7.1
78,texts,cran,,koRpus,0.13-4
79,texts,cran,,koRpus.lang.en,0.1-4
80,texts,cran,,NLP,0.2-1
81,texts,cran,,pdftools,2.3.1
82,texts,cran,,qdap,2.4.3
83,texts,cran,,rebus,0.1-3
84,texts,cran,,rlang,0.4.9
85,texts,cran,,stm,1.3.6
86,texts,cran,,stringdist,0.9.6.3
87,texts,cran,,stringi,1.5.3
88,texts,cran,,stringr,1.4.0
89,texts,cran,,textclean,0.9.3
90,texts,cran,,tidyselect,1.1.0
91,texts,cran,,tidytext,0.2.6
92,texts,cran,,tm,0.7-8
93,texts,cran,,tokenizers,0.2.1
94,texts,cran,,topicmodels,0.2-11
95,texts,cran,,udpipe,0.8.5
96,texts,GitHub,ropenscilabs,icon,0.1.0
97,tables,cran,,htmlTable,2.1.0
98,tables,cran,,kableExtra,1.3.1
99,tables,cran,,rhandsontable,0.3.7
100,tables,cran,,xtable,1.8-4
101,tables,GitHub,trestletech,shinyTable,0.1.0
102,charts,BioConductor,,ComplexHeatmap,2.4.2
103,charts,cran,,collapsibleTree,0.1.7
104,charts,cran,,d3Network,0.5.2.1
105,charts,cran,,D3partitionR,0.5.0
106,charts,cran,,DiagrammeR,1.0.6.1
107,charts,cran,,ggalt,0.4.0
108,charts,cran,,ggedit,0.3.1
109,charts,cran,,ggeffects,1.0.1
110,charts,cran,,ggExtra,0.9
111,charts,cran,,ggfittext,0.9.0
112,charts,cran,,ggforce,0.3.2
113,charts,cran,,ggiraph,0.7.8
114,charts,cran,,ggiraphExtra,0.3.0
115,charts,cran,,ggjoy,0.4.1
116,charts,cran,,ggmap,3.0.0
117,charts,cran,,ggmosaic,0.2.0
118,charts,cran,,ggplot2,3.3.2
119,charts,cran,,ggpubr,0.4.0
120,charts,cran,,ggraph,2.0.4
121,charts,cran,,ggrepel,0.9.0
122,charts,cran,,ggridges,0.5.2
123,charts,cran,,ggsci,2.9
124,charts,cran,,ggsignif,0.6.0
125,charts,cran,,ggtern,3.3.0
126,charts,cran,,ggthemes,4.2.0
127,charts,cran,,ggvis,0.4.7
128,charts,cran,,ggvoronoi,0.8.3
